id,name_sv,name_en,category,notes
animal-product,Animalisk produkt,Animal Product,diet-base,"Kött, fisk, ägg, mjölk, honung"
dairy,Mejeri,Dairy,diet-base,"Mjölk, ost, grädde, smör"
egg,Ägg,Egg,diet-base,"Ägg, majonnäs"
meat,Kött,Meat,diet-base,"Nöt, fläsk, kyckling, lamm, vilt"
plant-based,Växtbaserad,Plant-Based,diet-base,Vegetabilisk produkt utan animaliska ingredienser
seafood,Fisk & skaldjur,Seafood,diet-base,"Lax, torsk, räkor, musslor"
vegan-friendly,Vegansk,Vegan-Friendly,diet-base,Helt vegansk produkt
beef,Nötkött,Beef,meat-detail,Specifikt nötkött
fish,Fisk,Fish,meat-detail,"Lax, torsk, sill (ej skaldjur)"
game,Vilt,Game,meat-detail,"Vilt (rådjur, älg, vildsvin)"
lamb,Lammkött,Lamb,meat-detail,Specifikt lammkött
pork,Fläsk,Pork,meat-detail,"Fläskfilé, bacon, skinka"
poultry,Fågel,Poultry,meat-detail,"Kyckling, kalkon, anka"
shellfish,Skaldjur,Shellfish,meat-detail,"Räkor, krabba, musslor, hummer"
contains-gluten,Innehåller gluten,Contains Gluten,allergen,"Vete, korn, råg, pasta, bröd"
contains-lactose,Innehåller laktos,Contains Lactose,allergen,"Mjölk, grädde, färskost"
peanut,Jordnöt,Peanut,allergen,"Jordnötter, jordnötssmör"
sesame,Sesam,Sesame,allergen,"Sesamfrön, tahini"
soy,Soja,Soy,allergen,"Sojasås, tofu, tempeh, edamame"
tree-nut,Trädnöt,Tree Nut,allergen,"Mandel, valnöt, cashew, hasselnöt"
contains-alcohol,Alkohol,Alcohol,special-diet,"Vin, öl, konjak i matlagning"
high-mercury,Högt kvicksilver,High Mercury,special-diet,"Tonfisk, svärdfisk, haj"
nightshade,Nattskatta,Nightshade,special-diet,"Tomat, paprika, chili, potatis, aubergine"
needs-cooking,Måste tillagas,Needs Cooking,practical,"Rått kött, rå kyckling, rå fläsk"
processed,Bearbetad produkt,Processed,practical,"Korv, bacon, pommes frites"
crustacean,Kräftdjur,Crustacean,allergen,"Räkor, krabba, hummer, kräftor"
mollusc,Blötdjur,Mollusc,allergen,"Musslor, ostron, bläckfisk, sniglar"
celery,Selleri,Celery,allergen,"Selleri, rotselleri, sellerifrön"
mustard,Senap,Mustard,allergen,"Senap, senapspulver, senapsfrön"
lupin,Lupin,Lupin,allergen,"Lupinmjöl, lupinbönor"
sulfites,Sulfiter,Sulfites,allergen,"Vin, vinäger, torkad frukt"
is-spicy,Stark/het,Spicy,practical,"Chili, jalapeño, habanero, wasabi, pepparrot, currypasta, kimchi, nduja"
doesnt-freeze-well,Fryser dåligt,Freezes Poorly,practical,"Sallad, gurka, tomat, yoghurt, gräddfil, majonnäs, mjuka ostar, såser"
