cuisine_tag,positive_triggers,alt_triggers,negative_triggers
svensk,TITLE: jansson|raggmunk|pyttipanna|ärtsoppa|pannbiff|wallenbergare|SOS|prinskorv|julskinka,INGREDIENT: köttbullar|falukorv|lingon|(potatis+grädde+dill),sojasås|taco|wok
italiensk,(pasta+(tomat|parmesan|basilika))|risotto|pizza,,sojasås|ingefära
mexikansk,taco|jalapeño|(lime+koriander)|tortilla|chipotle,,sojasås|pasta
thailändsk,(kokosmjölk+lime+chili)|fisksås|galanga|citrongräs,,parmesan
indisk,garam masala|(curry+kokosmjölk)|tikka masala|naan,,sojasås|pasta
kinesisk,(sojasås+ingefära)|hoisin|oyster sauce|wok,,parmesan|fisksås
japansk,(sojasås+mirin)|wasabi|nori|miso|dashi,,parmesan|fisksås
koreansk,gochujang|kimchi|(sesamolja+sojasås),,parmesan|pasta
vietnamesisk,(fisksås+lime)|risnudlar|färska örter,,parmesan
grekisk,(fetaost+oliver+gurka)|tzatziki,,sojasås
medelhavsmat,(olivolja+vitlök+tomat)|örter+citron,,sojasås|grädde
mellanöstern,tahini|hummus|za'atar|sumak|granatäpple,,sojasås
fransk,(grädde+vin+timjan)|dijonsenap|estragon,,sojasås
spansk,chorizo|(paprika+saffran)|oliver,,sojasås
amerikansk,BBQ|(bacon+cheddar)|ranch|burger,,
nordisk,(dill+gravad)|lingon|nordiska bär,,sojasås|chili
asiatisk,sojasås|ingefära|sesamolja,,parmesan|grädde
