group_path,level,parent,tag_trigger
fat/oil,2,fat,
fat/solid,2,fat,
fruit/berry,2,fruit,
fruit/citrus,2,fruit,
fruit/common,2,fruit,
fruit/dried,2,fruit,
fruit/exotic,2,fruit,
fruit/stone,2,fruit,
grain/bread,2,grain,brödbaserad
grain/cereal,2,grain,
grain/flour,2,grain,
grain/flour/gluten-containing,3,grain/flour,
grain/flour/gluten-free,3,grain/flour,
grain/pasta-bread,2,grain,pastabaserad/nudelbaserad
grain/whole,2,grain,fullkorn/risbaserad
other/baking,2,other,
other/beverage,2,other,
other/condiment,2,other,
other/dessert,2,other,
other/liquid,2,other,
other/nut-seed,2,other,
other/nut-seed/seed,3,other/nut-seed,
other/nut-seed/tree-nut,3,other/nut-seed,
other/prepared-meal,2,other,
other/sweetener,2,other,
protein/dairy,2,protein,
protein/egg,2,protein,ägg
protein/meat,2,protein,
protein/meat/beef,3,protein/meat,nötkött
protein/meat/game,3,protein/meat,vilt
protein/meat/lamb,3,protein/meat,lamm
protein/meat/other,3,protein/meat,
protein/meat/pork,3,protein/meat,fläskkött
protein/meat/poultry,3,protein/meat,kyckling/anka/kalkon
protein/plant-based,2,protein,tofu
protein/seafood,2,protein,
protein/seafood/fish,3,protein/seafood,fisk (+lax/torsk/sill)
protein/seafood/shellfish,3,protein/seafood,skaldjur (+räkor)
spice,1,,
spice/blend,2,spice,
spice/ground,2,spice,
spice/herb-dry,2,spice,
spice/herb-fresh,2,spice,
spice/other,2,spice,
spice/paste,2,spice,
spice/seed,2,spice,
vegetable/cruciferous,2,vegetable,
vegetable/fruit-veg,2,vegetable,
vegetable/leaf,2,vegetable,
vegetable/legume,2,vegetable,baljväxter
vegetable/mushroom,2,vegetable,
vegetable/onion-family,2,vegetable,
vegetable/root,2,vegetable,potatisbaserad
vegetable/sprout,2,vegetable,
vegetable/stem,2,vegetable,
protein,1,,
vegetable,1,,
fruit,1,,
grain,1,,
fat,1,,
other,1,,
