tag,kategori,regel,källa
under-15-min,tid,totalTime <= 15,metadata
under-30-min,tid,totalTime <= 30,metadata
under-45-min,tid,totalTime <= 45,metadata
under-60-min,tid,totalTime <= 60,metadata
över-60-min,tid,totalTime > 60,metadata
kyckling,protein,group=protein/meat/poultry + 'kyckling',ingredients
anka,protein,group=protein/meat/poultry + 'anka',ingredients
kalkon,protein,group=protein/meat/poultry + 'kalkon',ingredients
nötkött,protein,group=protein/meat/beef,ingredients
fläskkött,protein,group=protein/meat/pork,ingredients
lamm,protein,group=protein/meat/lamb,ingredients
vilt,protein,group=protein/meat/game,ingredients
fisk,protein,group=protein/seafood/fish,ingredients
lax,protein,group=protein/seafood/fish + 'lax',ingredients
torsk,protein,group=protein/seafood/fish + 'torsk',ingredients
sill,protein,group=protein/seafood/fish + 'sill',ingredients
räkor,protein,group=protein/seafood/shellfish + 'räk' + crustacean,ingredients
skaldjur,protein,group=protein/seafood/shellfish,ingredients
tofu,protein,group=protein/plant-based + 'tofu',ingredients
baljväxter,protein,group=vegetable/legume,ingredients
ägg,protein,group=protein/egg (som huvudprotein),ingredients
pastabaserad,bas,pasta som huvudingrediens,ingredients
risbaserad,bas,ris som huvudingrediens,ingredients
potatisbaserad,bas,potatis som huvudingrediens,ingredients
nudelbaserad,bas,nudlar som huvudingrediens,ingredients
brödbaserad,bas,bröd som huvudingrediens,ingredients
fullkorn,bas,group=grain/whole som huvudkolhydrat,ingredients
ugnsbakad,tillagning,ugn|grader|°C (NOT micro),instruktioner
stekt,tillagning,stek|steker|bryning,instruktioner
grillad,tillagning,grill|grilla,instruktioner
kokt,tillagning,koka|kokar|sjud,instruktioner
ångkokt,tillagning,ångkok|ånga,instruktioner
pocherad,tillagning,pochera,instruktioner
friterad,tillagning,fritera|fritering,instruktioner
airfryer,tillagning,airfryer|air fryer,instruktioner
slow-cooker,tillagning,slow cooker|crock pot,instruktioner
tryckkokare,tillagning,tryckkokare|instant pot,instruktioner
sous-vide,tillagning,sous vide|sous-vide,instruktioner
wokad,tillagning,wok|woka,instruktioner
microugn,tillagning,micro|mikro,instruktioner
rökt,tillagning,rök|röka|rökning,instruktioner
soppa,rätttyp,soppa|buljong,titel
sallad,rätttyp,sallad,titel
gryta,rätttyp,gryta,titel
gratäng,rätttyp,gratäng,titel
curry,rätttyp,curry,titel
smörgås,rätttyp,smörgås|macka,titel
hamburgare,rätttyp,hamburgare|burger,titel
pizza,rätttyp,pizza,titel
taco,rätttyp,taco|tacos,titel
bowl,rätttyp,bowl|poké,titel
paj,rätttyp,paj|pie|quiche,titel
kaka,rätttyp,kaka|tårta (ej pannkaka),titel
bröd,rätttyp,bröd (som slutprodukt),titel
köttbullar,rätttyp,köttbull,titel
omelett,rätttyp,omelett,titel
pannkaka,rätttyp,pannkak|crêpe,titel
våffla,rätttyp,våffl,titel
smoothie,rätttyp,smoothie,titel
wok,rätttyp,wok (som rätttyp),titel
dipp,rätttyp,dipp|dip,titel
sås,rätttyp,sås (som slutprodukt),titel
