tag,regel,notes
pastarätt,pastabaserad == true,
risrätt,risbaserad == true,
nudelrätt,nudelbaserad == true,
en-gryta,gryta == true AND alla ingredienser tillagas tillsammans,
plåtmat,'plåt' i instruktioner OR 'sheet pan',
no-bake,"ingen ugn, ingen spis, ingen tillagning",
långkok,totalTime > 120 AND (slow-cooker OR gryta),
över-natten,'över natten' eller 'övernatt' i instruktioner,
lite-jobb,aktiv tid < 15 min,om tillgängligt
få-ingredienser,antal ingredienser <= 6,exkl. basråvaror
stark,"innehåller is-spicy ingrediens ELLER titel matchar keyword i TitleKeywords (affects_tag=stark, effect=SET)",Baseras på is-spicy property och TitleKeywords
mild,inga is-spicy ingredienser,Baseras på avsaknad av is-spicy ingredienser
dessert,kaka OR tårta OR efterrätt-kategori,
frukost,pannkaka OR våffla OR frukost-keywords,
fika,bulle OR kaka OR kanelbulle,
dryck,smoothie OR dryck-keywords,
pescetarian,meat_status == FREE AND (fish_status == CONTAINS OR shellfish_status == CONTAINS),Använder allergen-status (tri-valued)
rå,ingen tillagningsmetod (Fas1) + (sashimi|tartare|carpaccio i titel),härleds från avsaknad av tillagning
