test_id,kategori,scenario,metadata,expected_tag,notes,ingredienser,instruktioner,titel
F1-01,tid,10 minuter,totalTime: 10,under-15-min,Också under-30/45/60,,,
F1-02,tid,25 minuter,totalTime: 25,under-30-min,Inte under-15,,,
F1-03,tid,90 minuter,totalTime: 90,över-60-min,Endast över-60,,,
F1-04,protein,Kycklingbröst,,kyckling,poultry + 'kyckling',"kycklingbröst, ris, broccoli",,
F1-05,protein,Anklever,,anka,poultry + 'anka',"anklever, äpple, calvados",,
F1-06,protein,Kalkonbröst,,kalkon,poultry + 'kalkon',"kalkonbröst, sallad",,
F1-07,protein,Laxfilé,,"lax, fisk",Specifik + generell,"lax, citron, dill",,
F1-08,protein,Torsk,,"torsk, fisk",Specifik + generell,"torsk, potatis, brynt smör",,
F1-09,protein,Räkor,,"räkor, skaldjur",Specifik + generell,"räkor, vitlök, pasta",,
F1-10,protein,Tofu,,tofu,plant-based + 'tofu',"tofu, sojasås, broccoli",,
F1-11,protein,Linser,,baljväxter,vegetable/legume,"linser, tomat, curry",,
F1-12,tillagning,175 grader ugn,,ugnsbakad,,,Sätt ugnen på 175 grader,
F1-13,tillagning,Stek i panna,,stekt,,,Stek kycklingen i smör,
F1-14,tillagning,Grilla utomhus,,grillad,,,Grilla på medelvärme,
F1-15,tillagning,Koka i vatten,,kokt,,,Koka pastan i saltat vatten,
F1-16,tillagning,Woka snabbt,,wokad,,,Woka grönsakerna i het olja,
F1-17,tillagning,Slow cooker,,slow-cooker,,,Låt puttra i slow cooker i 8 timmar,
F1-18,tillagning,Sous vide,,sous-vide,,,Sous vide på 56 grader i 2 timmar,
F1-19,tillagning,Airfryer,,airfryer,,,Tillaga i airfryer på 200 grader,
F1-20,rätttyp,Tomatsoppa,,soppa,,,,Krämig tomatsoppa
F1-21,rätttyp,Grönsallad,,sallad,,,,Fräsch grönsallad med fetaost
F1-22,rätttyp,Köttgryta,,gryta,,,,Mustig köttgryta
F1-23,rätttyp,Lasagnegratäng,,gratäng,Matchar 'gratäng',,,Klassisk lasagnegratäng
F1-24,rätttyp,Kyckling curry,,curry,,,,Kryddig kyckling curry
F1-25,rätttyp,Pizza margherita,,pizza,,,,Pizza margherita
F1-26,rätttyp,Tacos,,taco,,,,Fredagstacos
F1-27,rätttyp,Pannkakor,,pannkaka,,,,Fluffiga pannkakor
F1-28,rätttyp,Våfflor,,våffla,,,,Krispiga våfflor
F1-29,rätttyp,Pokébowl,,bowl,,,,Lax pokébowl
F1-30,rätttyp,Smoothie,,smoothie,,,,Bär smoothie
F1-31,bas,Pasta som huvudingrediens,,pastabaserad,,"spaghetti 500g, köttfärssås",,
F1-32,bas,Ris som huvudingrediens,,risbaserad,,"jasminris 400g, kyckling, curry",,
F1-33,bas,Potatis som huvudingrediens,,potatisbaserad,,"potatis 1kg, grädde, lök",,
F1-34,bas,Nudlar,,nudelbaserad,,"risnudlar, räkor, grönsaker",,
F1-60,protein,Entrecôte,"entrecôte, potatis, bearnaise",nötkött,protein/meat/beef,,,
F1-61,protein,Lammstek,"lammkotlett, rosmarin, vitlök",lamm,protein/meat/lamb,,,
F1-62,protein,Viltgryta,"älgkött, svamp, grädde",vilt,protein/meat/game,,,
F1-63,protein,Inlagd sill,"sillfilé, lök, kryddor",sill,protein/seafood/fish,,,
F1-64,protein,Äggröra,"ägg 4st, smör, gräslök",ägg,protein/egg som huvud,,,
F1-65,bas,Bröd som bas,"bröd, ost, skinka",brödbaserad,grain/bread,,,
F1-66,bas,Fullkornspasta,"fullkornspasta, grönkål",fullkorn,grain/whole,,,
F1-67,tillagning,Friterade räkor,Fritera i olja tills gyllene,friterad,,,,
F1-68,tillagning,Rökt lax,Kallrök i 8 timmar,rökt,,,,
F1-69,tillagning,Ångkokta grönsaker,Ångkoka tills mjuka,ångkokt,,,,
F1-70,tillagning,Pocherat ägg,Pochera i sjudande vatten,pocherad,,,,
F1-71,tillagning,Microugn,Värm i micro på full effekt,microugn,,,,
F1-72,tillagning,Tryckkokare,Tryckkok i 30 minuter,tryckkokare,,,,
F1-73,rätttyp,Omelett,Fransk omelett med örter,omelett,,,,
F1-74,rätttyp,Hamburgare,Klassisk hamburgare,hamburgare,,,,
F1-75,rätttyp,Smörgås,Kyckling-smörgås,smörgås,,,,
F1-76,rätttyp,Paj,Klassisk äppelpaj,paj,,,,
F1-77,rätttyp,Bröd,Surdegsbröd,bröd,Som slutprodukt,,,
F1-78,rätttyp,Köttbullar,Mormors köttbullar,köttbullar,,,,
F1-79,rätttyp,Wok,Grönsakswok,wok,Som rätttyp,,,
F1-80,rätttyp,Dipp,Krämig vitlöksdipp,dipp,,,,
F1-81,rätttyp,Sås,Hemgjord béarnaise,sås,Som slutprodukt,,,
F1-82,rätttyp,Kaka,Kladdig chokladkaka,kaka,,,,
F1-83,tid,40 minuter,totalTime: 40,under-45-min,,,,
F1-84,tid,55 minuter,totalTime: 55,under-60-min,,,,
