test_id,tag,scenario,ingredienser,metadata,tekniker,expected,notes,förutsättning,instruktioner,titel
F3-01,enkel,"5 ingredienser, 20 min, stek",5 st,totalTime: 20,stek,True,,,,
F3-02,medel,"10 ingredienser, 45 min",10 st,totalTime: 45,,True,,,,
F3-03,avancerad,"15 ingredienser, 2 timmar",15 st,totalTime: 120,,True,,,,
F3-04,krämig,Gräddsås till pasta,"pasta, grädde, parmesan, vitlök",,,True,grädde + såskontext,,,
F3-05,krämig,Kokosmjölk-curry,"kyckling, kokosmjölk, curry, ris",,,True,kokosmjölk + såskontext,,,
F3-06,krispig,Friterade räkor,,,,True,,friterad == true,,
F3-07,krispig,Krispig bacon,,,,True,'krispig' i instruktioner,,Stek tills krispig,
F3-08,ostig,Ostgratäng,"potatis, ost 200g, grädde",,,True,>=100g ost,,,
F3-09,kall-rätt,Sallad,,,,True,,ingen värmebehandling,,
F3-10,varm-rätt,Gryta,,,,True,,kokt/stekt/ugnsbakad,,
F3-11,grönsaksrik,4 grönsaker,"broccoli, morot, paprika, zucchini, kyckling",,,True,>=3 grönsaker,,,
F3-12,örtig,Basilika + persilja + koriander,"basilika, persilja, koriander, tomat, pasta",,,True,>=2 färska örter,,,
F3-13,proteinrik,300g kyckling,"kycklingbröst 300g, ris, grönsaker",,,True,>=200g protein,,,
F3-14,fiberrik,Linssoppa,"linser, tomat, morot, lök",,,True,baljväxter som bas,,,
F3-15,matlådevänlig,Köttfärssås,,,,True,,"varm-rätt, ej sallad, håller sig",,
F3-16,frysvänlig,Gryta utan grädde,"nötkött, potatis, morot, lök",,,True,Inga doesnt-freeze-well,,,
F3-17,frysvänlig,Gräddsås,"kyckling, grädde, pasta",,,False,grädde = doesnt-freeze-well,,,
F3-18,storkok,8 portioner,,servings: 8,,True,,,,
F3-19,storkok,Titel: Storkok,,,,True,,,,Storkok: Köttfärssås
F3-20,klimatsmart,Vegetarisk gryta,"linser, grönsaker, kokosmjölk",,,True,Alla low/medium carbon,,,
F3-21,budgetvänlig,Pasta med tomatsås,"pasta, krossade tomater, lök, vitlök",,,True,Alla budget/standard,,,
