test_id,operation,scenario,input_A,input_B,expected,values
TV-01,OR,Nötter: mandel + okänd,tree-nut: CONTAINS,peanut: UNKNOWN,nötter: CONTAINS,
TV-02,OR,Nötter: ingen mandel + okänd,tree-nut: FREE,peanut: UNKNOWN,nötter: UNKNOWN,
TV-03,OR,Nötter: båda FREE,tree-nut: FREE,peanut: FREE,nötter: FREE,
TV-04,OR,Skaldjur: räkor + okänd,crustacean: CONTAINS,mollusc: UNKNOWN,skaldjur: CONTAINS,
TV-05,OR,Skaldjur: musslor + inga räkor,crustacean: FREE,mollusc: CONTAINS,skaldjur: CONTAINS,
TV-06,AND,Vegansk: inga animalier + okänd,animal-product FREE för kända,1 okänd ingrediens,vegansk: UNKNOWN,
TV-07,AND,Halalanpassad: ej fläsk + ej alkohol,pork: FREE,alcohol: FREE,halalanpassad: FREE,
TV-08,AND,Halalanpassad: ej fläsk + okänd alkohol,pork: FREE,alcohol: UNKNOWN,halalanpassad: UNKNOWN,
TV-09,AND,Halalanpassad: har bacon,pork: CONTAINS,alcohol: FREE,halalanpassad: CONTAINS,
TV-10,PRIORITY,CONTAINS > UNKNOWN > FREE,,,CONTAINS dominerar alltid,"CONTAINS, UNKNOWN, FREE"
